leaf_rate,stem_rate,root_rate,sr,time,speed,water,nitrate,leaf_mass,stem_mass,root_mass,starch_mass
0.0,0.0,0.005447845961852005,0.001602943124016769,555992431,240,47282386.431483716,100518.4548047521,1,1.0,9.281802871596076,0.02604960974053117
0.0,0.0,0.005608140751035729,0.001650107348544589,556234395,240,47282386.43148372,100500.46489819704,1,1.0,9.284591719342055,0.027650949921423945
0.0,0.0,0.005768457989259502,0.0016972781783499155,556490578,240,47282386.431483716,100481.76028761109,1,1.0,9.287491362589893,0.029315908236105432
0.0,0.0,0.005924940777779364,0.0017433207815441534,556715913,240,47282386.43148372,100462.7879250801,1,1.0,9.290432513524628,0.031004700023563578
0.0,0.0,0.006083014062229597,0.0017898313631895474,556961492,240,47282386.43148372,100442.83085429772,1,1.0,9.293526316802417,0.03278114389995711
0.0,0.0,0.006234425466216868,0.001834381791123566,557199359,240,47282386.43148373,100423.00488929273,1,1.0,9.296599795680503,0.034545917624061964
0.0,0.0,0.006384423066463607,0.0018785162295086029,557438431,240,47282386.43148372,100402.60300727628,1,1.0,9.299762554892194,0.036361955597274266
0.0,0.0,0.006534430135864828,0.0019226534540436463,557679431,240,47282386.43148372,100381.4359155928,1,1.0,9.303043939136682,0.0382461073754713
0.0,0.0,0.006683883205557579,0.001966627672864208,557923564,240,47282386.431483716,100359.5554900455,1,1.0,9.306435906475784,0.04019375532441754
0.0,0.0,0.00682718554517029,0.002008792135946718,558161190,240,47282386.431483716,100337.7932456714,1,1.0,9.309809553024973,0.04213088358218873
0.0,0.0,0.006971869639930625,0.002051363158783022,558404359,240,47282386.431483716,100315.00023574241,1,1.0,9.313342991854633,0.044159763639494955
